room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,rooms_per_host,population,city_size,log_price
Private room,Mechelen,Willebroek,10,5,3,1,26,51.059738,4.351817,3,77530,small,3.258096538021482
Private room,Antwerpen,Antwerpen,0,NA,1,1,30,51.195748,4.410614,2,459805,large,3.4011973816621555
Private room,Antwerpen,Boom,0,NA,2,0,41,51.085782,4.386361,5,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,8,5,2,1,35,51.226512,4.424127,1,459805,large,3.5553480614894135
Private room,Antwerpen,Antwerpen,5,5,2,1,38,51.209655,4.387428,1,459805,large,3.6375861597263857
Private room,Sint-Niklaas,Beveren,7,5,2,1,31,51.212331,4.245699,1,69010,small,3.4339872044851463
Private room,Halle-Vilvoorde,Zaventem,48,4.5,2,1,41,50.884321,4.455237,1,NA,NA,3.713572066704308
Private room,Turnhout,Westerlo,19,5,1,1,35,51.108886,4.862213,2,39654,small,3.5553480614894135
Private room,Turnhout,Geel,0,NA,1,1,35,51.161928,4.986736,2,39654,small,3.5553480614894135
Private room,Antwerpen,Antwerpen,12,5,1,1,22,51.209472,4.406453,2,459805,large,3.091042453358316
Private room,Antwerpen,Antwerpen,18,5,3,1,33,51.21102,4.402188,1,459805,large,3.4965075614664802
Private room,Antwerpen,Schoten,0,NA,2,1,35,51.250421,4.525198,1,459805,large,3.5553480614894135
Private room,Leuven,Leuven,0,NA,2,2,23,50.872753,4.698423,1,92892,small,3.1354942159291497
Private room,Antwerpen,Antwerpen,29,5,2,1,41,51.218978,4.442854,1,459805,large,3.713572066704308
Private room,Brussel,Brussel,107,4.5,2,1,30,50.879218,4.353445,4,1019022,large,3.4011973816621555
Private room,Brussel,Schaarbeek,0,NA,2,1,30,50.865861,4.380833,1,1019022,large,3.4011973816621555
Private room,Leuven,Leuven,13,5,2,0,30,50.876108,4.713039,1,92892,small,3.4011973816621555
Private room,Antwerpen,Antwerpen,0,NA,1,1,15,51.208662,4.405228,1,459805,large,2.70805020110221
Private room,Halle-Vilvoorde,Zaventem,19,5,3,1,40,50.882404,4.466997,1,NA,NA,3.6888794541139363
Private room,Brussel,Elsene,0,NA,3,1,24,50.831686,4.374505,1,1019022,large,3.1780538303479458
Private room,Brussel,Vorst,24,5,2,1,28,50.82351,4.327634,2,1019022,large,3.332204510175204
Private room,Antwerpen,Niel,11,5,2,1,35,51.108632,4.363072,7,459805,large,3.5553480614894135
Private room,Brussel,Etterbeek,0,NA,2,1,32,50.83605,4.396301,1,1019022,large,3.4657359027997265
Private room,Brussel,Brussel,57,4.5,2,1,27,50.8779,4.354349,4,1019022,large,3.295836866004329
Private room,Brussel,Sint-Joost-ten-Node,0,NA,2,1,36,50.851867,4.366492,2,1019022,large,3.58351893845611
Private room,Brussel,Vorst,104,4.5,2,1,26,50.808943,4.314729,2,1019022,large,3.258096538021482
Private room,Brussel,Schaarbeek,98,4.5,1,1,33,50.85711,4.376154,2,1019022,large,3.4965075614664802
Private room,Halle-Vilvoorde,Kapelle-op-den-Bos,0,NA,2,1,35,50.988681,4.354683,2,NA,NA,3.5553480614894135
Private room,Brussel,Elsene,122,4.5,1,1,26,50.836639,4.370984,2,1019022,large,3.258096538021482
Private room,Brussel,Elsene,0,NA,2,1,30,50.830056,4.375317,7,1019022,large,3.4011973816621555
Private room,Mechelen,Puurs,0,NA,10,10,30,51.083254,4.349345,7,77530,small,3.4011973816621555
Private room,Antwerpen,Lint,83,4.5,3,1,35,51.125042,4.475954,1,459805,large,3.5553480614894135
Private room,Hasselt,Herk-de-Stad,6,5,2,1,41,50.948905,5.205341,1,69222,small,3.713572066704308
Private room,Leuven,Tielt-Winge,0,NA,2,1,25,50.923269,4.913794,1,92892,small,3.2188758248682006
Private room,Turnhout,Herentals,2,NA,2,1,39,51.176134,4.833497,3,39654,small,3.6635616461296463
Private room,Turnhout,Kasterlee,8,4.5,2,1,32,51.254628,5.034487,1,39654,small,3.4657359027997265
Private room,Hasselt,Hasselt,2,NA,1,1,26,50.935187,5.341176,3,69222,small,3.258096538021482
Private room,Leuven,Holsbeek,26,4.5,2,1,33,50.931428,4.819864,1,92892,small,3.4965075614664802
Private room,Leuven,Holsbeek,5,5,2,1,35,50.935568,4.852092,1,92892,small,3.5553480614894135
Private room,Turnhout,Balen,4,4.5,2,1,26,51.195228,5.184906,2,39654,small,3.258096538021482
Private room,Turnhout,Olen,74,5,4,1,35,51.183596,4.903946,1,39654,small,3.5553480614894135
Private room,Leuven,Aarschot,5,5,2,1,34,50.966685,4.803085,1,92892,small,3.5263605246161616
Private room,Turnhout,Balen,2,NA,2,1,31,51.194708,5.185757,2,39654,small,3.4339872044851463
Private room,Antwerpen,Antwerpen,25,4.5,1,1,26,51.20399,4.398275,1,459805,large,3.258096538021482
Private room,Antwerpen,Antwerpen,5,5,1,1,41,51.187453,4.387583,4,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,0,NA,1,1,30,51.206809,4.397872,1,459805,large,3.4011973816621555
Private room,Antwerpen,Antwerpen,0,NA,1,1,35,51.207865,4.391884,1,459805,large,3.5553480614894135
Private room,Antwerpen,Antwerpen,26,4.5,2,1,38,51.205134,4.409687,1,459805,large,3.6375861597263857
Private room,Antwerpen,Antwerpen,2,NA,2,1,22,51.197858,4.425015,1,459805,large,3.091042453358316
Private room,Antwerpen,Antwerpen,4,5,2,1,41,51.20619,4.391029,1,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,0,NA,2,1,34,51.22198,4.406612,1,459805,large,3.5263605246161616
Private room,Antwerpen,Antwerpen,6,4.5,4,1,30,51.206394,4.428541,3,459805,large,3.4011973816621555
Private room,Antwerpen,Antwerpen,2,NA,2,1,35,51.222918,4.440926,5,459805,large,3.5553480614894135
Private room,Antwerpen,Antwerpen,0,NA,2,1,35,51.196265,4.411722,1,459805,large,3.5553480614894135
Private room,Antwerpen,Antwerpen,2,NA,2,1,40,51.200505,4.402533,1,459805,large,3.6888794541139363
Private room,Antwerpen,Antwerpen,3,5,2,1,35,51.219088,4.403272,1,459805,large,3.5553480614894135
Private room,Antwerpen,Antwerpen,2,NA,1,1,41,51.232948,4.410863,4,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,20,5,1,1,40,51.222111,4.406775,1,459805,large,3.6888794541139363
Private room,Antwerpen,Antwerpen,0,NA,2,1,19,51.208514,4.405825,1,459805,large,2.9444389791664403
Private room,Antwerpen,Antwerpen,1,NA,1,1,35,51.220447,4.406849,1,459805,large,3.5553480614894135
Private room,Antwerpen,Antwerpen,21,4.5,2,1,20,51.226271,4.435739,2,459805,large,2.995732273553991
Private room,Antwerpen,Antwerpen,0,NA,2,1,41,51.20824,4.431438,1,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,1,NA,1,1,24,51.221228,4.428688,1,459805,large,3.1780538303479458
Private room,Antwerpen,Antwerpen,2,NA,2,0,40,51.208544,4.414672,1,459805,large,3.6888794541139363
